gender;f;a0;a1;a2;p0;p1;q0;q1;agebound;l0;l1;m0;m1;s0;s1
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;42.25;0;0;0.022845149;0.020627323;0.050245447;0.051008854
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;42.5;0;0;0.020627323;0.018364938;0.051008854;0.051753566
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;42.75;0;0;0.018364938;0.016060092;0.051753566;0.052479944
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;43;0;0;0.016060092;0.013714998;0.052479944;0.053188353
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;43.25;0;0;0.013714998;0.011331783;0.053188353;0.05387915
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;43.5;0;0;0.011331783;0.008912511;0.05387915;0.054552682
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;43.75;0;0;0.008912511;0.006459183;0.054552682;0.055209289
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;44;0;0;0.006459183;0.003973742;0.055209289;0.055849304
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;44.25;0;0;0.003973742;0.001458073;0.055849304;0.056473051
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;44.5;0;0;0.001458073;-0.001085994;0.056473051;0.057080846
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;44.75;0;0;-0.001085994;-0.003656685;0.057080846;0.057673001
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;45;0;0;-0.003656685;-0.006252277;0.057673001;0.058249817
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;45.25;0;0;-0.006252277;-0.008871097;0.058249817;0.058811591
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;45.5;0;0;-0.008871097;-0.011511522;0.058811591;0.059358614
